project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-07-01,2022-07-01,06-2023,4546.26,4148.46,93.0,11,36,-25,91.24995050876984,Transmission_System,0.0,30.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-08-01,2022-07-01,06-2023,4546.26,4172.96,93.0,11,37,-26,91.78885501489135,Transmission_System,0.0,30.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-09-01,2022-07-01,06-2023,4546.26,4210.29,93.0,11,38,-27,92.60996951340222,Transmission_System,0.0,30.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-10-01,2022-07-01,06-2023,4546.26,4210.3,93.0,11,39,-28,92.61018947442513,Transmission_System,0.0,30.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-11-01,2022-07-01,06-2023,4546.26,4318.95,94.0,11,40,-29,95.00006598830686,Transmission_System,0.0,30.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2025-12-01,2022-07-01,06-2023,4546.26,4358.49,95.0,11,41,-30,95.86979187288011,Transmission_System,0.0,33.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2026-01-01,2022-07-01,06-2023,4546.26,4482.15,96.0,11,42,-31,98.58982988214488,Transmission_System,0.0,35.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2026-02-01,2022-07-01,06-2023,4546.26,4500.79,98.0,11,43,-32,98.99983722884303,Transmission_System,0.0,35.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2026-03-01,2022-07-01,06-2023,4546.26,4523.49,99.65,11,44,-33,99.49914875084134,Transmission_System,0.0,35.0,1,0
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,2026-04-01,2022-07-01,06-2023,4546.26,4528.07,99.9,11,45,-34,99.59989089933264,Transmission_System,0.0,35.0,1,0
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-07-01,2016-01-01,12-2018,4754.42,7321.07,81.0,35,114,-79,153.98450284156638,Other_Power_Transmission,0.0,,1,0
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-08-01,2016-01-01,12-2018,4754.42,7462.2,81.0,35,115,-80,156.95289856596597,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-09-01,2014-10-01,12-2018,4754.42,7598.33,82.0,50,131,-81,159.8161289915489,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-10-01,2014-10-01,12-2018,4754.42,7705.14,82.0,50,132,-82,162.06267010487082,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-11-01,2014-10-01,12-2018,4754.42,7778.18,82.0,50,133,-83,163.5989247899849,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2025-12-01,2014-10-01,12-2018,4754.42,7809.22,82.0,50,134,-84,164.25179096503885,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-01-01,2014-10-01,12-2018,4754.42,7904.16,83.0,50,135,-85,166.24866965896996,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-02-01,2014-10-01,12-2018,4754.42,7951.63,83.0,50,136,-86,167.24710900593553,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-03-01,2014-10-01,12-2018,4754.42,8033.8,83.3,50,137,-87,168.97539552668886,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-04-01,2014-10-01,12-2018,4754.42,8069.4,83.4,50,138,-88,169.72417245426362,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-05-01,2014-10-01,12-2018,4754.42,8088.57,83.5,50,139,-89,170.12737620992675,Other_Power_Transmission,92.0175331586187,,1,1
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-06-01,2014-10-01,12-2018,4754.42,8128.74,83.8,50,140,-90,170.97227422061997,Other_Power_Transmission,92.0175331586187,,1,1
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-07-01,2022-03-01,12-2024,288.71,202.1,59.0,33,40,-7,70.00103910498424,Transmission_System,0.0,9.0,1,0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-08-01,2022-03-01,12-2024,288.71,207.8,75.0,33,41,-8,71.97533857504071,Transmission_System,0.0,10.0,1,0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-09-01,2022-03-01,12-2024,288.71,242.52,91.0,33,42,-9,84.00124692598109,Transmission_System,0.0,10.0,1,0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-10-01,2022-03-01,12-2024,288.71,280.02,99.0,33,43,-10,96.99005922898412,Transmission_System,0.0,11.0,1,0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-07-01,2016-03-01,12-2018,5111.33,5253.47,96.0,33,112,-79,102.78088090575253,Other_Power_Transmission,31.08134282075311,81.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-08-01,2016-03-01,12-2018,5111.33,5277.24,96.0,33,113,-80,103.24592620707332,Other_Power_Transmission,31.08134282075311,84.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-09-01,2016-03-01,12-2018,5111.33,5295.68,96.0,33,114,-81,103.60669336552326,Other_Power_Transmission,31.08134282075311,84.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-10-01,2016-03-01,12-2018,5111.33,5317.79,96.0,33,115,-82,104.03926179683174,Other_Power_Transmission,31.08134282075311,87.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-11-01,2016-03-01,12-2018,5111.33,5410.25,96.0,33,116,-83,105.84818432775812,Other_Power_Transmission,31.08134282075311,87.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-12-01,2016-03-01,12-2018,5111.33,5442.41,96.0,33,117,-84,106.47737477329775,Other_Power_Transmission,31.08134282075311,87.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-01-01,2016-03-01,12-2018,5111.33,5474.57,96.0,33,118,-85,107.10656521883736,Other_Power_Transmission,31.08134282075311,87.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-02-01,2016-03-01,12-2018,5111.33,5506.73,96.0,33,119,-86,107.73575566437697,Other_Power_Transmission,31.08134282075311,87.0,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-03-01,2016-03-01,12-2018,5111.33,5577.75,98.87,33,120,-87,109.12521789827696,Other_Power_Transmission,31.08134282075311,,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-04-01,2016-03-01,12-2018,5111.33,5577.75,98.5,33,121,-88,109.12521789827696,Other_Power_Transmission,31.08134282075311,,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-05-01,2016-03-01,12-2018,5111.33,5577.75,99.0,33,122,-89,109.12521789827696,Other_Power_Transmission,31.08134282075311,,1,1
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-06-01,2016-03-01,12-2018,5111.33,5577.75,99.1,33,123,-90,109.12521789827696,Other_Power_Transmission,31.08134282075311,,1,1
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,2025-07-01,2022-02-01,09-2023,359.47,330.71,93.0,19,41,-22,91.99933235040476,Transmission_System,0.0,26.0,1,0
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,2025-08-01,2022-02-01,09-2023,359.47,330.91,93.0,19,42,-23,92.05496981667454,Transmission_System,0.0,26.0,1,0
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,2025-09-01,2022-02-01,09-2023,359.47,336.11,94.0,19,43,-24,93.501543939689,Transmission_System,0.0,26.0,1,0
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,2025-10-01,2022-02-01,09-2023,359.47,341.49,97.0,19,44,-25,94.99819178234624,Transmission_System,0.0,27.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-07-01,2022-02-01,04-2025,318.12,286.31,99.0,38,41,-3,90.00062869357475,Transmission_System,0.0,4.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-08-01,2022-02-01,04-2025,318.12,287.31,99.0,38,42,-4,90.3149754809506,Transmission_System,0.0,5.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-09-01,2022-02-01,04-2025,318.12,308.58,99.0,38,43,-5,97.00113164843457,Transmission_System,0.0,5.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-10-01,2022-02-01,04-2025,318.12,317.12,100.0,38,44,-6,99.68565321262416,Transmission_System,0.0,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-07-01,2023-03-01,03-2025,1167.55,1013.39,91.0,24,28,-4,86.7962828144405,Transmission_System,-0.04710719027022,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-08-01,2023-03-01,03-2025,1167.55,1050.41,93.0,24,29,-5,89.96702496681085,Transmission_System,-0.04710719027022,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-09-01,2023-03-01,03-2025,1167.55,1105.5,94.0,24,30,-6,94.68545244315018,Transmission_System,-0.04710719027022,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-10-01,2023-03-01,03-2025,1167.55,1147.74,97.0,24,31,-7,98.30328465590338,Transmission_System,-0.04710719027022,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-07-01,2023-03-01,03-2025,2820.99,2454.26,84.0,24,28,-4,86.99995391688735,Transmission_System,0.0,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-08-01,2023-03-01,03-2025,2820.99,2570.25,84.0,24,29,-5,91.11163102315145,Transmission_System,0.0,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-09-01,2023-03-01,03-2025,2820.99,2639.03,90.0,24,30,-6,93.54978216867129,Transmission_System,0.0,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-10-01,2023-03-01,03-2025,2820.99,2736.36,93.0,24,31,-7,96.99998936543554,Transmission_System,0.0,9.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-11-01,2023-03-01,03-2025,2820.99,2783.19,95.0,24,32,-8,98.66004487786203,Transmission_System,0.0,9.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-12-01,2023-03-01,03-2025,2820.99,2783.19,98.0,24,33,-9,98.66004487786203,Transmission_System,0.0,10.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-07-01,2023-03-01,09-2024,1433.28,1341.7,93.0,18,28,-10,93.6104599240902,Transmission_System,-0.0195356106273702,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-08-01,2023-03-01,09-2024,1433.28,1359.63,95.0,18,29,-11,94.86143670462158,Transmission_System,-0.0195356106273702,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-09-01,2023-03-01,09-2024,1433.28,1390.01,97.0,18,30,-12,96.98105045769144,Transmission_System,-0.0195356106273702,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-10-01,2023-03-01,09-2024,1433.28,1418.67,98.0,18,31,-13,98.9806597454789,Transmission_System,-0.0195356106273702,14.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-11-01,2023-03-01,09-2024,1433.28,1418.67,98.0,18,32,-14,98.9806597454789,Transmission_System,-0.0195356106273702,15.0,1,0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-07-01,2023-03-01,12-2024,966.79,894.76,95.0,21,28,-7,92.54957126159766,Substation_Grid_Equipment,0.0,8.0,1,0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-08-01,2023-03-01,12-2024,966.79,904.52,95.0,21,29,-8,93.55909763237104,Substation_Grid_Equipment,0.0,10.0,1,0
