project_code,project_name,snapshot_date,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,progress_velocity,expenditure_velocity,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,target_cost_overrun_pct,target_schedule_overrun_months
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-07-01,288.71,202.1,59.0,33,40,-7,70.00103910498424,Transmission_System,0.0,0.0,11.001039104984244,7,1.2121212121212122,0.7000103910498424,0.0,9.0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-08-01,288.71,207.8,75.0,33,41,-8,71.97533857504071,Transmission_System,16.0,1.9742994700564651,-3.024661424959291,8,1.2424242424242424,0.719753385750407,0.0,10.0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-09-01,288.71,242.52,91.0,33,42,-9,84.00124692598109,Transmission_System,16.0,12.025908350940384,-6.998753074018907,9,1.2727272727272727,0.8400124692598109,0.0,10.0
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-10-01,288.71,280.02,99.0,33,43,-10,96.99005922898412,Transmission_System,8.0,12.98881230300303,-2.009940771015877,10,1.303030303030303,0.9699005922898412,0.0,11.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-07-01,5111.33,5253.47,96.0,33,112,-79,102.78088090575253,Other_Power_Transmission,0.0,0.0,6.780880905752525,79,3.393939393939394,1.0278088090575253,31.08134282075311,81.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-08-01,5111.33,5277.24,96.0,33,113,-80,103.24592620707332,Other_Power_Transmission,0.0,0.4650453013207993,7.245926207073325,80,3.4242424242424243,1.0324592620707334,31.08134282075311,84.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-09-01,5111.33,5295.68,96.0,33,114,-81,103.60669336552326,Other_Power_Transmission,0.0,0.3607671584499314,7.606693365523256,81,3.4545454545454546,1.0360669336552326,31.08134282075311,84.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-10-01,5111.33,5317.79,96.0,33,115,-82,104.03926179683174,Other_Power_Transmission,0.0,0.4325684313084821,8.039261796831738,82,3.484848484848485,1.0403926179683174,31.08134282075311,87.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-11-01,5111.33,5410.25,96.0,33,116,-83,105.84818432775812,Other_Power_Transmission,0.0,1.808922530926381,9.84818432775812,83,3.515151515151515,1.058481843277581,31.08134282075311,87.0
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2025-12-01,5111.33,5442.41,96.0,33,117,-84,106.47737477329775,Other_Power_Transmission,0.0,0.6291904455396349,10.477374773297754,84,3.5454545454545454,1.0647737477329775,31.08134282075311,87.0
