project_code,mean,max,has_cost_overrun,risk_category,dataset
602223,84.34940539540048,92.0175331586187,1,HIGH_OVER_30,train
606781,0.0,0.0,0,NO_OVERRUN,train
607709,31.08134282075311,31.08134282075311,1,HIGH_OVER_30,train
608302,0.0,0.0,0,NO_OVERRUN,train
611656,-0.04710719027022,-0.04710719027022,0,NO_OVERRUN,train
611657,0.0,0.0,0,NO_OVERRUN,train
611659,-0.0195356106273702,-0.0195356106273702,0,NO_OVERRUN,train
611660,0.0,0.0,0,NO_OVERRUN,train
611947,0.0,0.0,0,NO_OVERRUN,train
611949,0.0,0.0,0,NO_OVERRUN,train
611950,0.0,0.0,0,NO_OVERRUN,train
611966,0.0,0.0,0,NO_OVERRUN,train
611967,0.0,0.0,0,NO_OVERRUN,train
612138,0.0,0.0,0,NO_OVERRUN,train
612139,0.0,0.0,0,NO_OVERRUN,train
612140,0.0,0.0,0,NO_OVERRUN,train
617179,0.0,0.0,0,NO_OVERRUN,train
617269,0.0,0.0,0,NO_OVERRUN,train
617270,0.0,0.0,0,NO_OVERRUN,train
617326,0.0,0.0,0,NO_OVERRUN,train
617801,0.0,0.0,0,NO_OVERRUN,train
619029,0.0,0.0,0,NO_OVERRUN,train
900808,0.0,0.0,0,NO_OVERRUN,train
N18000184,0.0,0.0,0,NO_OVERRUN,train
N18000249,92.0175331586187,92.0175331586187,1,HIGH_OVER_30,train
N18000250,31.08134282075311,31.08134282075311,1,HIGH_OVER_30,train
N18000300,0.0,0.0,0,NO_OVERRUN,train
N18000306,0.0,0.0,0,NO_OVERRUN,train
N18000307,0.0,0.0,0,NO_OVERRUN,train
N18000330,0.0,0.0,0,NO_OVERRUN,train
N18000331,0.0,0.0,0,NO_OVERRUN,train
N18000332,8.28331332533013,33.13325330132052,1,HIGH_OVER_30,train
N18000338,0.0,0.0,0,NO_OVERRUN,train
N18000343,0.0,0.0,0,NO_OVERRUN,train
N18000350,0.0,0.0,0,NO_OVERRUN,train
N18000351,0.0,0.0,0,NO_OVERRUN,train
N18000353,0.0,0.0,0,NO_OVERRUN,train
N18000354,0.0,0.0,0,NO_OVERRUN,train
N18000355,0.0,0.0,0,NO_OVERRUN,train
N18000356,0.0,0.0,0,NO_OVERRUN,train
N18000357,0.0,0.0,0,NO_OVERRUN,train
N18000359,0.0,0.0,0,NO_OVERRUN,train
N18000360,0.0,0.0,0,NO_OVERRUN,train
N18000361,0.0,0.0,0,NO_OVERRUN,train
N18000372,0.0,0.0,0,NO_OVERRUN,train
N18000373,0.0,0.0,0,NO_OVERRUN,train
N18000374,0.0,0.0,0,NO_OVERRUN,train
N18000376,0.0,0.0,0,NO_OVERRUN,train
N18000377,0.0,0.0,0,NO_OVERRUN,train
N18000379,0.0,0.0,0,NO_OVERRUN,train
N18000384,0.0,0.0,0,NO_OVERRUN,train
N18000385,0.0,0.0,0,NO_OVERRUN,train
N18000386,0.0,0.0,0,NO_OVERRUN,train
N18000388,0.0,0.0,0,NO_OVERRUN,train
N18000389,0.0,0.0,0,NO_OVERRUN,train
N18000390,0.0,0.0,0,NO_OVERRUN,train
N18000391,0.0,0.0,0,NO_OVERRUN,train
N18000392,0.0,0.0,0,NO_OVERRUN,train
N18000394,0.0,0.0,0,NO_OVERRUN,train
N18000395,0.0,0.0,0,NO_OVERRUN,train
N18000396,0.0,0.0,0,NO_OVERRUN,train
N18000397,0.0,0.0,0,NO_OVERRUN,train
N18000399,0.0,0.0,0,NO_OVERRUN,train
N18000400,0.0,0.0,0,NO_OVERRUN,train
N18000401,0.0,0.0,0,NO_OVERRUN,train
N18000402,0.0,0.0,0,NO_OVERRUN,train
N18000404,0.0,0.0,0,NO_OVERRUN,train
N18000407,0.0,0.0,0,NO_OVERRUN,train
N18000408,0.0,0.0,0,NO_OVERRUN,train
400005,0.0,0.0,0,NO_OVERRUN,test
608301,0.0,0.0,0,NO_OVERRUN,test
611737,0.0,0.0,0,NO_OVERRUN,test
611948,0.0,0.0,0,NO_OVERRUN,test
611951,0.0,0.0,0,NO_OVERRUN,test
612134,0.0,0.0,0,NO_OVERRUN,test
612856,0.0,0.0,0,NO_OVERRUN,test
617271,0.0,0.0,0,NO_OVERRUN,test
617391,0.0,0.0,0,NO_OVERRUN,test
N18000264,36.45871626134546,36.45871626134546,1,HIGH_OVER_30,test
N18000316,0.0,0.0,0,NO_OVERRUN,test
N18000328,0.0,0.0,0,NO_OVERRUN,test
N18000337,0.0,0.0,0,NO_OVERRUN,test
N18000352,0.0,0.0,0,NO_OVERRUN,test
N18000358,0.0,0.0,0,NO_OVERRUN,test
N18000375,0.0,0.0,0,NO_OVERRUN,test
N18000378,0.0,0.0,0,NO_OVERRUN,test
N18000380,0.0,0.0,0,NO_OVERRUN,test
N18000383,0.0,0.0,0,NO_OVERRUN,test
N18000387,0.0,0.0,0,NO_OVERRUN,test
N18000393,0.0,0.0,0,NO_OVERRUN,test
N18000398,0.0,0.0,0,NO_OVERRUN,test
N18000405,0.0,0.0,0,NO_OVERRUN,test
