project_code,project_name,snapshots,mean_absolute_error,max_absolute_error,actual_mean,predicted_mean
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,10,20.99136506674964,29.21384805883286,0.0,20.99136506674964
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR - NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,1,20.92837047215106,20.92837047215106,36.45871626134546,15.530345789194397
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR -NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,3,20.92837047215106,20.92837047215106,36.45871626134546,15.530345789194397
N18000337,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,9,7.988326622363044,11.338496409990228,0.0,7.988326622363044
611737,Western Region Expansion Scheme-XXV,4,2.4600752580113,2.5121621257104154,0.0,2.4600752580113
N18000405,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,5,0.8633706339098086,0.8633706339098087,0.0,0.8633706339098086
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,4,0.505254344557597,0.5513733110225201,0.0,0.505254344557597
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,9,0.3135019473826551,1.0315856807693524,0.0,0.3096522288379036
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,9,0.0025647891919886273,0.0069724085848592455,0.0,-0.0025647891919886273
N18000358,TRANSMISSION NETWORK EXPANSION IN GUJARAT ASSOCIATED WITH INTEGRATION OF RE PROJECTS FROM KHAVDA POT,10,0.00018716640341377589,0.001248032591098981,0.0,-0.00018716640341377589
612856,Augmentation of 1x1500 MVA 3rd  765/400 kV transformation capacity at Kurnool New Substation,8,0.00017403489738720168,0.0013922791790976134,0.0,-0.00017403489738720168
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],1,0.0,0.0,0.0,0.0
N18000378,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART J,8,0.0,0.0,0.0,0.0
N18000398,AUGMENTATION OF TRANSFORMATION CAPACITY AT JAM KHAMBHALIYA PS [GIS] [SPV NAME POWERGRID JAM KHAMBHAL,5,0.0,0.0,0.0,0.0
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART-C,6,0.0,0.0,0.0,0.0
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART- C,1,0.0,0.0,0.0,0.0
N18000387,TS FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-1) [BIKANER COMPLEX] PART D [NEEMRANA II B,8,0.0,0.0,0.0,0.0
N18000383,TS FOR EVACUATION OF POWER FROM POTENTIAL RE ZONE IN KHAVDA AREA OF GUJARAT UNDER PH-IV PART E3,8,0.0,0.0,0.0,0.0
N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),10,0.0,0.0,0.0,0.0
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A  PART B,6,0.0,0.0,0.0,0.0
N18000375,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART C1,9,0.0,0.0,0.0,0.0
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART- A  PART B,3,0.0,0.0,0.0,0.0
N18000328,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,9,0.0,0.0,0.0,0.0
N18000316,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,2,0.0,0.0,0.0,0.0
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana  Transmission Ltd],8,0.0,0.0,0.0,0.0
617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],9,0.0,0.0,0.0,0.0
617271,Eastern Region  Expansion Scheme-43 [ERES-43],9,0.0,0.0,0.0,0.0
N18000337,1131 TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,1,0.0,0.0,0.0,0.0
