cost_risk_score,cost_risk_level,expenditure_pct,physical_progress_pct,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,risk_reasons,risk_warnings,project_code,snapshot_date,project_category,actual_cost_overrun_pct
95,HIGH,153.98450284156638,81.0,72.98450284156638,79.0,3.257142857142857,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-07-01,Other_Power_Transmission,0.0
95,HIGH,156.95289856596597,81.0,75.95289856596597,80.0,3.2857142857142856,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-08-01,Other_Power_Transmission,92.0175331586187
95,HIGH,159.8161289915489,82.0,77.81612899154891,81.0,2.62,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-09-01,Other_Power_Transmission,92.0175331586187
95,HIGH,162.06267010487082,82.0,80.06267010487082,82.0,2.64,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-10-01,Other_Power_Transmission,92.0175331586187
95,HIGH,163.5989247899849,82.0,81.59892478998489,83.0,2.66,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-11-01,Other_Power_Transmission,92.0175331586187
95,HIGH,164.25179096503885,82.0,82.25179096503885,84.0,2.68,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2025-12-01,Other_Power_Transmission,92.0175331586187
95,HIGH,166.24866965896996,83.0,83.24866965896996,85.0,2.7,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-01-01,Other_Power_Transmission,92.0175331586187
95,HIGH,167.24710900593553,83.0,84.24710900593553,86.0,2.72,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-02-01,Other_Power_Transmission,92.0175331586187
95,HIGH,168.97539552668886,83.3,85.67539552668886,87.0,2.74,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-03-01,Other_Power_Transmission,92.0175331586187
95,HIGH,169.72417245426362,83.4,86.32417245426362,88.0,2.76,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-04-01,Other_Power_Transmission,92.0175331586187
