project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag,max_cost_overrun,cost_risk,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,expenditure_progress_ratio
602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,2026-06-01,2014-10-01,12-2018,4754.42,8128.74,83.8,50,140,-90,170.97227422061997,Other_Power_Transmission,92.0175331586187,,1,1,92.0175331586187,1,87.17227422061997,90,2.8,1.7097227422061996,2.040241935806921
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-10-01,2022-03-01,12-2024,288.71,280.02,99.0,33,43,-10,96.99005922898412,Transmission_System,0.0,11.0,1,0,0.0,0,-2.009940771015877,10,1.303030303030303,0.9699005922898413,0.9796975679695366
607709,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],2026-06-01,2016-03-01,12-2018,5111.33,5577.75,99.1,33,123,-90,109.12521789827696,Other_Power_Transmission,31.08134282075311,,1,1,31.08134282075311,1,10.025217898276964,90,3.727272727272727,1.0912521789827696,1.1011626427676788
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-10-01,2022-02-01,04-2025,318.12,317.12,100.0,38,44,-6,99.68565321262416,Transmission_System,0.0,7.0,1,0,0.0,0,-0.31434678737583965,6,1.1578947368421053,0.9968565321262416,0.9968565321262416
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-10-01,2023-03-01,03-2025,1167.55,1147.74,97.0,24,31,-7,98.30328465590338,Transmission_System,-0.04710719027022,8.0,1,0,-0.04710719027022,0,1.3032846559033828,7,1.2916666666666667,0.9830328465590338,1.0134359242876638
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-12-01,2023-03-01,03-2025,2820.99,2783.19,98.0,24,33,-9,98.66004487786203,Transmission_System,0.0,10.0,1,0,0.0,0,0.6600448778620347,9,1.375,0.9866004487786203,1.0067351518149188
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-11-01,2023-03-01,09-2024,1433.28,1418.67,98.0,18,32,-14,98.9806597454789,Transmission_System,-0.0195356106273702,15.0,1,0,-0.0195356106273702,0,0.9806597454789028,14,1.7777777777777777,0.989806597454789,1.0100067320967234
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-10-01,2023-03-01,12-2024,966.79,936.24,97.0,21,31,-10,96.84005833738456,Substation_Grid_Equipment,0.0,11.0,1,0,0.0,0,-0.15994166261543796,10,1.4761904761904763,0.9684005833738456,0.9983511168802532
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-04-01,2023-11-01,06-2025,428.3,415.45,98.4,19,29,-10,96.99976651879524,Transmission_System,0.0,12.0,1,0,0.0,0,-1.400233481204765,10,1.5263157894736843,0.9699976651879524,0.985769984947106
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-03-01,2023-10-01,04-2025,1796.02,1724.17,98.47,18,29,-11,95.99948775626108,Transmission_System,0.0,13.0,1,0,0.0,0,-2.4705122437389235,11,1.6111111111111112,0.9599948775626107,0.9749110161090797
