feature,importance
numerical__cumulative_expenditure_cr,0.5501624792328802
numerical__expenditure_pct_of_original_cost,0.4150283131260976
numerical__elapsed_months,0.015315545464627352
numerical__planned_duration_months,0.007915288931417677
numerical__original_cost_cr,0.004646131133071083
numerical__months_to_original_target,0.00381472872606263
numerical__physical_progress_pct,0.0030928440914463912
categorical__project_category_Substation_Grid_Equipment,2.4669231077189776e-05
categorical__project_category_Transmission_System,6.331993193040824e-11
categorical__project_category_Other_Power_Transmission,0.0
