feature,importance
numerical__months_to_original_target,0.9419044381603959
numerical__cumulative_expenditure_cr,0.037216978391798876
numerical__physical_progress_pct,0.0072772781326669485
numerical__expenditure_pct_of_original_cost,0.004517732910209152
numerical__original_cost_cr,0.004231750727506009
numerical__elapsed_months,0.00244668126867095
numerical__planned_duration_months,0.001196948971984555
categorical__project_category_Transmission_System,0.0006922993957742637
categorical__project_category_Substation_Grid_Equipment,0.00035889629942293706
categorical__project_category_Other_Power_Transmission,0.00015699574157031112
