model,target,CV_MAE,CV_MAE_STD,CV_RMSE,CV_R2,params
RandomForest,target_cost_overrun_pct,1.7427600904159397,1.7931722353312314,6.458993880415463,0.6766949807212811,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 1.0}"
RandomForest,target_cost_overrun_pct,1.7732696602354339,1.8393908377519872,6.515008321602449,0.6738230278889404,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 1.0}"
RandomForest,target_cost_overrun_pct,1.829486594195123,2.0038960477358927,6.527484086766968,0.6937403037167466,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 0.8}"
RandomForest,target_cost_overrun_pct,1.8294867270904334,2.003896308604262,6.527484089800408,0.6937403036042241,"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.8}"
RandomForest,target_cost_overrun_pct,1.8305679280946907,1.7328404932488262,6.581449579425767,0.663453666618148,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 1.0}"
RandomForest,target_cost_overrun_pct,1.981931170683028,2.082268423734769,7.184110938181918,0.6221063633418467,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 1.0}"
RandomForest,target_cost_overrun_pct,1.981931170683028,2.082268423734769,7.184110938181918,0.6221063633418467,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 1, 'max_features': 1.0}"
RandomForest,target_cost_overrun_pct,1.98193235471066,2.0822708219794577,7.184112408220594,0.622106304138153,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1, 'max_features': 1.0}"
HistGradientBoosting,target_cost_overrun_pct,2.7218474363799148,1.4871104003997409,6.645343256118092,0.6371303136349938,"{'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 30, 'l2_regularization': 2.0}"
HistGradientBoosting,target_cost_overrun_pct,3.3993756434523994,3.134859283520534,9.715542625779246,0.40530141479210097,"{'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 10, 'l2_regularization': 1.0}"
HistGradientBoosting,target_cost_overrun_pct,3.4409713426514834,2.5201809560120543,9.180313695474393,0.25145144403287645,"{'learning_rate': 0.03, 'max_iter': 500, 'max_leaf_nodes': 15, 'min_samples_leaf': 20, 'l2_regularization': 1.0}"
HistGradientBoosting,target_cost_overrun_pct,3.442921615882245,2.5222341561793082,9.13442269731082,0.2580532557213823,"{'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 20, 'l2_regularization': 1.0}"
HistGradientBoosting,target_cost_overrun_pct,3.445991343951614,2.51969626596726,9.142967661477956,0.2547216712085355,"{'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 1.0}"
HistGradientBoosting,target_cost_overrun_pct,3.5563583088991613,2.7001038600879883,9.363791764913085,0.24789789344316385,"{'learning_rate': 0.05, 'max_iter': 500, 'max_leaf_nodes': 15, 'min_samples_leaf': 20, 'l2_regularization': 1.0}"
Ridge,target_cost_overrun_pct,6.975689174277316,2.2244414491466853,10.406185939604116,-0.05152998537963445,{'alpha': 10.0}
RandomForest,target_schedule_overrun_months,2.5781083898060113,1.4322473855904572,5.112675458632119,-0.27727934888200456,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.601889884285181,1.3178045157584974,5.165123856776041,-0.21396404533178343,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.6027111285722286,1.3180793381170972,5.165809451350204,-0.214922501037437,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 1, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.6083030848790374,1.314355408676569,5.171350265180829,-0.2159863691232206,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.621541232357291,1.3826738619037577,5.204295516211699,-0.28534921374168276,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.627882887672859,1.3869137498247934,5.254500729434468,-0.31646731324879446,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 1.0}"
RandomForest,target_schedule_overrun_months,2.7246200145473543,1.2941394112149136,5.344057650431657,-0.22632059594517778,"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.8}"
RandomForest,target_schedule_overrun_months,2.730333841234175,1.2965829568089853,5.359229395867735,-0.23580172836812396,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 0.8}"
HistGradientBoosting,target_schedule_overrun_months,3.0809325192610113,1.987424736086734,6.603138814272846,-1.8204046743030653,"{'learning_rate': 0.05, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 10, 'l2_regularization': 1.0}"
