project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-07-01,7.0,5.998413853031498,1
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-08-01,7.0,6.564151664955843,1
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-09-01,7.0,7.222643033336914,1
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,2025-10-01,8.0,10.129128789955024,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-07-01,8.0,7.094432746504728,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-08-01,8.0,7.727815928853855,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-09-01,8.0,8.093442630039375,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-10-01,9.0,10.392087750112514,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-11-01,9.0,11.116454235035114,1
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-12-01,10.0,11.29966520924609,1
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-07-01,8.0,9.906066998260878,1
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-08-01,10.0,10.62858131683131,1
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-09-01,10.0,10.86472194472194,1
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-10-01,11.0,12.52986559029207,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-07-01,3.0,5.876344685958466,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-08-01,6.0,6.138548970236278,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-09-01,6.0,6.8449732225835165,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-10-01,9.0,5.8810733227900425,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-11-01,9.0,6.765439925571506,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-12-01,9.0,7.482986339941444,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-01-01,9.0,10.011045710553063,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-02-01,9.0,10.656405404508345,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-03-01,12.0,10.836689619204323,1
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-04-01,12.0,12.475152917888218,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-07-01,4.0,6.060169665230425,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-08-01,5.0,7.150808377008841,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-09-01,5.0,7.561589345767751,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-10-01,8.0,7.659219509449387,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-11-01,8.0,7.254438031667909,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-12-01,8.0,7.881855012562836,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-01-01,8.0,7.109095139065726,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-02-01,8.0,9.99111590887326,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-03-01,9.0,10.670455817058757,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-04-01,9.0,10.833652101166802,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-05-01,10.0,12.471733846219148,1
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2026-06-01,10.0,13.647961077765265,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2025-09-01,8.0,-0.019004683082082464,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2025-10-01,8.0,-0.015893571970971354,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-01-01,8.0,0.021137868810469432,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-02-01,8.0,0.02998707515967578,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-03-01,11.0,0.09409827877087935,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-04-01,11.0,0.6543165604891612,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-05-01,11.0,4.743898425992079,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-06-01,11.0,5.922969348662461,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-10-01,10.0,0.04727633477633477,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-11-01,1.0,0.06281204906204906,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-12-01,10.0,0.04887701187701188,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-01-01,10.0,0.11017881192881193,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-02-01,10.0,0.6412514892514894,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-03-01,13.0,4.181297938373404,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-04-01,13.0,5.1167636436920505,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-05-01,13.0,5.599348564762265,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-06-01,13.0,6.872152074705479,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2025-12-01,5.0,45.463000551521105,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-01-01,5.0,45.71819103016011,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-02-01,5.0,45.806518138237216,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-03-01,5.0,45.94072456460811,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-04-01,5.0,49.244484038121065,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-05-01,5.0,49.53032061167823,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-06-01,5.0,49.78523949317799,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,24.0,21.670633468240272,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,24.0,21.668432289789095,1
N18000353,ER WR TRANSMISSION LIMITED,2024-08-01,0.0,-0.06931884114624054,1
N18000353,ER WR TRANSMISSION LIMITED,2024-11-01,0.0,-0.003767762595161982,1
N18000353,ER WR TRANSMISSION LIMITED,2024-12-01,0.0,0.3134762896488903,1
N18000353,ER WR TRANSMISSION LIMITED,2025-01-01,0.0,2.349233427477237,1
N18000353,ER WR TRANSMISSION LIMITED,2025-02-01,0.0,2.6236226805816605,1
N18000353,ER WR TRANSMISSION LIMITED,2025-03-01,1.0,3.4502951312819734,1
N18000353,ER WR TRANSMISSION LIMITED,2025-04-01,2.0,4.465666895468365,1
N18000353,ER WR TRANSMISSION LIMITED,2025-05-01,3.0,5.049315317852081,1
N18000353,ER WR TRANSMISSION LIMITED,2025-06-01,3.0,5.467485661397425,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-08-01,0.0,-0.03835804268544206,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-09-01,0.0,-0.11030884188624131,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-11-01,0.0,-0.5196937255211246,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-12-01,0.0,-0.3572004135498716,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2025-01-01,0.0,2.6725070319114455,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-02-01,0.0,3.907237112016522,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-03-01,0.0,4.107083827120588,1
