project_code,project_name,snapshots,mean_absolute_error,max_absolute_error,actual_mean,predicted_mean
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR - NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,1,10.028801587301587,10.028801587301587,67.0,77.02880158730159
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR -NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,3,10.028801587301587,10.028801587301587,67.0,77.02880158730159
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,10,8.320334920634924,10.113341269841278,32.3,23.979665079365073
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART- A  PART B,3,5.015126984126986,5.154630952380952,5.333333333333333,10.348460317460319
N18000378,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART J,8,4.873938492063491,7.991777777777778,8.25,3.376061507936509
N18000316,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,2,4.350966931216929,6.178997354497355,17.0,21.35096693121693
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,4,3.8060257936508037,4.5629444444444545,26.25,22.443974206349196
N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),10,3.7783230158730157,5.952111111111111,6.0,2.2741730158730156
N18000405,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,5,3.766868253968254,4.058071428571429,0.0,3.766868253968254
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A  PART B,6,3.4331117724867717,5.9747817460317485,6.333333333333333,9.766445105820106
N18000375,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART C1,9,3.214922104644327,5.998888888888889,4.666666666666667,1.4517445620223397
617271,Eastern Region  Expansion Scheme-43 [ERES-43],9,2.2412873710651477,6.174504329004327,4.0,6.154283843728288
N18000337,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,9,2.1140157260435046,4.4345555555555585,23.555555555555557,21.441539829512053
N18000328,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,9,2.012265392015392,4.806238095238095,0.8888888888888888,2.876092552509219
N18000358,TRANSMISSION NETWORK EXPANSION IN GUJARAT ASSOCIATED WITH INTEGRATION OF RE PROJECTS FROM KHAVDA POT,10,1.998410317460317,3.976507936507938,1.2,3.198410317460317
N18000383,TS FOR EVACUATION OF POWER FROM POTENTIAL RE ZONE IN KHAVDA AREA OF GUJARAT UNDER PH-IV PART E3,8,1.9628224206349207,4.870957671957672,0.5,2.4628224206349207
617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],9,1.9597154614932393,3.983825396825397,5.333333333333333,3.4436543209876547
611737,Western Region Expansion Scheme-XXV,4,1.665452380952381,2.844150793650794,23.75,22.15297619047619
N18000398,AUGMENTATION OF TRANSFORMATION CAPACITY AT JAM KHAMBHALIYA PS [GIS] [SPV NAME POWERGRID JAM KHAMBHAL,5,1.471004761904762,2.410309523809524,0.0,1.471004761904762
N18000337,1131 TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,1,1.421242063492059,1.421242063492059,18.0,16.57875793650794
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana  Transmission Ltd],8,1.4097218406593406,3.9496878306878322,6.0,4.679645222832724
612856,Augmentation of 1x1500 MVA 3rd  765/400 kV transformation capacity at Kurnool New Substation,8,1.2553201058201051,1.7065674603174585,4.25,3.662747354497355
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,9,1.0106997354497358,2.5406269841269857,10.0,11.010699735449736
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],1,0.8103492063492066,0.8103492063492066,6.0,5.189650793650793
N18000387,TS FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-1) [BIKANER COMPLEX] PART D [NEEMRANA II B,8,0.7787187500000003,2.9520317460317473,0.0,0.7570312500000003
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,9,0.7595753968253978,1.8236388888888886,9.88888888888889,10.212291152263374
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART-C,6,0.1098968253968254,0.5098571428571429,0.0,-0.1098968253968254
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART- C,1,0.0,0.0,0.0,0.0
