feature,spearman_correlation,absolute_correlation
planned_duration_months,0.42791190939940565,0.42791190939940565
original_cost_cr,0.4174191247868841,0.4174191247868841
schedule_slippage_months,0.4114429855038466,0.4114429855038466
cumulative_expenditure_cr,0.3985201396153268,0.3985201396153268
elapsed_months,0.3797827114649134,0.3797827114649134
expenditure_progress_gap,0.376612207151291,0.376612207151291
expenditure_pct_of_original_cost,0.37547494300678036,0.37547494300678036
budget_consumption_ratio,0.37547494300678036,0.37547494300678036
months_to_original_target,-0.3737036158127292,0.3737036158127292
schedule_pressure_ratio,0.3651262778653402,0.3651262778653402
progress_velocity,-0.20342138361445036,0.20342138361445036
physical_progress_pct,0.182248859317916,0.182248859317916
expenditure_velocity,-0.1037171830997198,0.1037171830997198
