feature,normal_mean,risk_mean,normal_median,risk_median
original_cost_cr,1530.008125,4279.5,1086.775,4754.42
cumulative_expenditure_cr,764.9503125000001,5713.646,448.78499999999997,5577.75
physical_progress_pct,62.161093750000006,90.93999999999998,84.96,94.1
planned_duration_months,25.3125,39.4,24.0,48.0
elapsed_months,27.078125,110.4,25.0,126.0
months_to_original_target,-1.765625,-71.0,-2.0,-78.0
expenditure_pct_of_original_cost,56.67808548751664,132.8255370801673,70.02400690785339,121.80552220888354
progress_velocity,2.8008854166666666,0.41999999999999604,1.8000000000000025,0.2000000000000028
expenditure_velocity,4.0704519378064195,6.201945308724217,2.1299075276861785,0.0
expenditure_progress_gap,-5.483008262483365,41.88553708016732,-1.607673116982152,27.70552220888355
schedule_slippage_months,5.84375,71.0,2.0,78.0
schedule_pressure_ratio,1.1216314667798886,2.7665656565656565,1.0804093567251463,2.625
budget_consumption_ratio,0.5667808548751663,1.328255370801673,0.7002400690785338,1.2180552220888354
